id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Wind,Rock Nomad,folk,sad,0.45,95,0.32,0.55,0.88
12,Urban Beat,City Pulse,hip-hop,energetic,0.88,100,0.75,0.92,0.12
13,Moonlight Sonata,Piano Dreams,classical,romantic,0.25,70,0.68,0.35,0.95
14,Thunder Clap,Electric Storm,metal,angry,0.96,140,0.15,0.78,0.08
15,Country Road,Bluegrass Band,country,relaxed,0.55,110,0.72,0.65,0.45
16,Electronic Pulse,Synth Master,electronic,moody,0.80,128,0.50,0.85,0.20
17,Reggae Sunset,Tropical Vibes,reggae,happy,0.70,90,0.85,0.80,0.30
18,Blues Lament,Guitar Hero,blues,sad,0.50,85,0.40,0.60,0.75
19,Punk Riot,Rebel Yell,punk,angry,0.95,160,0.20,0.88,0.05
20,Jazz Improv,Saxophone Soul,jazz,focused,0.60,120,0.65,0.70,0.40
